id	sentence_number	token	token_number	pos	entity	lemma
4185	1	Several	1	ADJ	None	several
4185	1	Swedish	2	ADJ	NORP	swedish
4185	1	universities	3	NOUN	None	university
4185	1	place	4	VERB	None	place
4185	1	high	5	ADJ	None	high
4185	1	in	6	ADP	None	in
4185	1	European	7	ADJ	NORP	european
4185	1	rankings	8	NOUN	None	ranking
4185	1	,	9	PUNCT	None	,
4185	1	and	10	CCONJ	None	and
4185	1	their	11	PRON	None	their
4185	1	research	12	NOUN	None	research
4185	1	has	13	AUX	None	have
4185	1	contributed	14	VERB	None	contribute
4185	1	to	15	ADP	None	to
4185	1	the	16	DET	None	the
4185	1	global	17	ADJ	None	global
4185	1	success	18	NOUN	None	success
4185	1	of	19	ADP	None	of
4185	1	Sweden	20	PROPN	GPE	Sweden
4185	1	’s	21	PART	None	’s
4185	1	many	22	ADJ	None	many
4185	1	high	23	ADJ	None	high
4185	1	-	24	PUNCT	None	-
4185	1	tech	25	NOUN	None	tech
4185	1	companies	26	NOUN	None	company
4185	1	.	27	PUNCT	None	.
4185	2	Many	1	ADJ	None	many
4185	2	Master	2	PROPN	None	Master
4185	2	's	3	PART	None	's
4185	2	programmes	4	NOUN	None	programme
4185	2	are	5	AUX	None	be
4185	2	taught	6	VERB	None	teach
4185	2	in	7	ADP	None	in
4185	2	English	8	PROPN	LANGUAGE	English
4185	2	,	9	PUNCT	None	,
4185	2	and	10	CCONJ	None	and
4185	2	scholarships	11	NOUN	None	scholarship
4185	2	are	12	AUX	None	be
4185	2	available	13	ADJ	None	available
4185	2	for	14	ADP	None	for
4185	2	international	15	ADJ	None	international
4185	2	students	16	NOUN	None	student
4185	2	.	17	PUNCT	None	.
4185	3	More	1	ADJ	CARDINAL	More
4185	3	than	2	ADP	CARDINAL	than
4185	3	20,000	3	NUM	CARDINAL	20,000
4185	3	foreign	4	ADJ	None	foreign
4185	3	students	5	NOUN	None	student
4185	3	are	6	AUX	None	be
4185	3	studying	7	VERB	None	study
4185	3	in	8	ADP	None	in
4185	3	Sweden	9	PROPN	GPE	Sweden
4185	3	,	10	PUNCT	None	,
4185	3	making	11	VERB	None	make
4185	3	for	12	ADP	None	for
4185	3	a	13	DET	None	a
4185	3	vibrant	14	ADJ	None	vibrant
4185	3	,	15	PUNCT	None	,
4185	3	international	16	ADJ	None	international
4185	3	study	17	NOUN	None	study
4185	3	environment	18	NOUN	None	environment
4185	3	.	19	PUNCT	None	.
4185	4	A	1	DET	None	a
4185	4	good	2	ADJ	None	good
4185	4	part	3	NOUN	None	part
4185	4	of	4	ADP	None	of
4185	4	their	5	PRON	None	their
